motif,0,1,2,3,4,5,6,7,8,9
-1-1-1+2+2+2,0,0,0,0,0,1,0,0,0,0
-1-1-1+2-1+1,0,0,0,0,0,0,0,1,0,0
-1-1-1-1+1+1,2,2,1,0,2,0,1,1,0,0
-1-1-1-1+2+1,1,0,1,1,4,0,1,0,1,2
-1-1-1-1+2+2,2,0,1,2,5,2,0,1,0,9
-1-1-1-1-1+1,0,0,0,1,0,0,0,0,0,0
-2+1+1+1+1+1,10,6,6,24,7,13,11,1,9,7
-2+1+1+1+1+2,3,0,2,6,0,3,2,2,2,4
-2+1+1+1+1-1,0,2,0,5,1,1,2,1,0,0
-2+1+1+1+1-2,0,0,0,3,0,0,0,0,0,0
-2+1+1+1+2+1,4,2,2,6,2,4,4,2,11,4
-2+1+1+1+2+2,7,6,5,12,3,8,7,1,10,11
-2+1+1+1+2-1,0,0,0,0,0,0,2,0,0,0
-2+1+1+1-1+1,0,1,0,0,1,1,0,0,0,0
-2+1+1+1-1-1,0,0,0,1,0,1,1,0,0,1
-2+1+1+2+1+1,6,2,3,8,2,2,3,2,4,2
-2+1+1+2+1+2,1,6,1,2,0,3,4,0,1,6
-2+1+1+2+1-1,0,0,0,0,1,4,1,0,3,0
-2+1+1+2+2+1,0,1,2,1,1,0,1,1,1,2
-2+1+1+2+2+2,4,3,2,2,2,5,0,1,7,6
-2+1+1+2-1+1,0,0,0,0,0,0,1,0,0,0
-2+1+1-1+1+1,0,0,0,2,1,0,0,0,0,1
-2+1+1-1+1+2,0,0,0,1,0,0,1,0,0,0
-2+1+1-1+1-1,0,0,0,1,1,0,0,0,0,0
-2+1+1-1+2+2,1,1,0,0,2,0,0,0,1,1
-2+1+1-2+1+1,0,0,0,0,0,0,1,0,0,0
-2+1+2+1+1+1,9,1,2,6,6,3,3,1,3,3
-2+1+2+1+1+2,0,2,1,2,0,0,1,0,0,2
-2+1+2+1+1-1,1,0,0,6,4,2,0,0,0,1
-2+1+2+1+1-2,0,0,0,3,0,3,2,1,2,0
-2+1+2+1+2+1,3,2,1,0,4,2,2,3,4,6
-2+1+2+1+2+2,4,1,1,1,1,0,0,2,1,10
-2+1+2+1+2-1,0,0,0,0,0,3,1,0,0,0
-2+1+2+1-1-1,0,0,0,0,0,1,0,0,0,0
-2+1+2+2+1+1,7,14,5,14,6,11,9,7,9,10
-2+1+2+2+1+2,5,2,1,1,2,3,2,3,1,8
-2+1+2+2+1-1,3,3,0,1,1,3,2,1,4,2
-2+1+2+2+1-2,3,1,1,1,1,2,2,1,2,1
-2+1+2+2+2+1,6,1,3,3,1,2,4,2,2,7
-2+1+2+2+2+2,7,2,0,3,3,4,3,1,5,6
-2+1+2+2+2-1,0,0,0,0,0,1,0,0,0,0
-2+1+2+2-1+1,0,0,0,0,1,0,0,0,1,0
-2+1+2+2-1+2,1,0,0,0,0,0,0,0,0,0
-2+1+2+2-1-1,1,0,0,0,0,0,1,0,0,0
-2+1+2-1+1+2,0,0,0,0,0,0,0,0,0,1
-2+1+2-1+1-1,0,0,0,0,0,0,0,0,1,0
-2+1+2-1+2+1,0,0,0,0,0,0,0,0,2,0
-2+1-1+1+1+1,1,0,1,7,0,2,1,1,1,5
-2+1-1+1+1+2,0,1,0,0,0,1,1,0,1,1
-2+1-1+1+1-1,0,0,0,0,1,0,1,0,0,0
-2+1-1+1+1-2,0,0,0,2,0,0,0,0,0,0
-2+1-1+1+2+1,1,1,1,1,0,0,0,0,0,1
-2+1-1+1+2+2,2,1,0,0,0,1,2,0,5,9
-2+1-1+1-2+1,0,0,0,3,1,0,0,0,0,0
-2+1-1+2+1+1,0,0,1,0,0,2,0,0,0,0
-2+1-1+2+1+2,0,1,0,0,0,1,0,0,2,1
-2+1-1+2+2+1,0,0,0,0,0,2,0,0,0,0
-2+1-1+2+2+2,0,0,0,0,0,0,0,0,0,1
-2+1-1-1+1+1,1,0,0,0,0,1,0,0,1,0
-2+1-1-1+1+2,0,0,0,0,0,1,0,0,0,0
-2+1-1-1+1-1,0,0,0,0,0,1,2,0,0,0
-2+1-1-1+2+1,1,0,0,0,0,1,0,0,0,0
-2+1-1-1+2+2,0,0,0,1,2,0,0,0,1,0
-2+1-1-1-1+1,0,0,0,0,1,0,0,0,0,0
-2+1-2+1+1+1,0,0,0,3,0,1,0,0,0,0
-2+1-2+1+2+1,0,0,1,0,0,0,0,0,0,1
-2+1-2+1+2+2,3,1,0,0,1,1,0,0,5,0
-2+1-2+1-1+1,1,0,0,0,0,1,0,0,0,0
-2+1-2+1-2+1,0,0,0,2,0,0,0,0,0,0
-2+2+1+1+1+1,0,3,2,1,3,3,2,1,0,4
-2+2+1+1+1+2,0,1,1,0,0,0,0,0,0,0
-2+2+1+1+2+1,2,1,0,6,4,7,0,3,1,8
-2+2+1+1+2+2,1,1,0,1,0,4,1,0,0,7
-2+2+1+1+2-1,0,0,0,0,1,0,0,0,0,0
-2+2+1+1-1-1,0,0,0,0,0,0,0,1,0,0
-2+2+1+2+1+1,0,0,2,1,2,1,1,3,0,4
-2+2+1+2+1+2,0,0,0,1,1,0,1,2,0,1
-2+2+1+2+1-1,0,0,2,0,0,0,0,2,0,0
-2+2+1+2+2+1,0,0,2,0,0,1,1,0,0,2
-2+2+1+2+2+2,3,0,5,3,0,2,0,2,2,1
-2+2+1+2+2-1,0,0,0,0,0,0,0,0,0,1
-2+2+1-1+2+2,0,0,0,0,0,0,0,0,0,1
-2+2+2+1+1+1,0,2,2,0,0,0,0,1,0,3
-2+2+2+1+1+2,0,0,0,0,1,0,1,0,1,0
-2+2+2+1+1-1,0,0,0,1,1,1,0,0,0,0
-2+2+2+1+1-2,0,0,0,0,0,2,0,0,0,0
-2+2+2+1+2+1,0,1,0,2,0,0,0,1,1,2
-2+2+2+1+2+2,1,0,0,2,0,3,0,1,2,0
-2+2+2+1+2-1,1,0,1,0,0,0,0,0,0,0
-2+2+2+1+2-2,0,0,0,1,0,0,0,0,0,0
-2+2+2+2+1+1,1,0,1,0,1,2,0,4,0,2
-2+2+2+2+1+2,3,0,0,0,0,0,0,0,0,0
-2+2+2+2+1-1,1,0,0,0,0,0,0,1,0,0
-2+2+2+2+2+1,1,0,0,1,2,3,2,3,0,3
