,0,1,2,3,4,5,6,7,8,9,10,11
0,184,24,4,4,2,0,1,1,0,0,0,0
1,27,17,2,5,1,0,0,0,0,0,0,0
2,9,3,4,1,0,1,0,0,0,0,0,0
3,2,1,2,0,2,0,0,0,0,0,0,0
4,4,2,0,0,0,0,0,0,0,0,0,0
5,0,0,3,0,1,0,0,1,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
