,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,226,34,15,2,1,4,0,1,0,0,1,0,1,0,0,0
1,24,19,6,3,1,1,1,2,0,0,0,0,0,0,1,0
2,7,7,5,7,2,1,0,0,0,0,1,0,0,0,0,0
3,2,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0
4,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0
5,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0
6,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
