,0,1,2,3,4,5,6,7,8,9,10,11
0,159,23,6,3,1,3,1,0,0,0,0,0
1,20,14,5,3,3,1,0,0,0,0,0,0
2,15,5,5,2,1,0,1,0,0,0,0,0
3,3,5,3,0,1,0,1,0,0,0,0,0
4,2,0,4,2,0,0,0,1,0,0,0,0
5,1,1,0,0,1,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,1,0,0,0,1,0
8,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0
