,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
+2+2,276.0,57.0,52.0,31.0,27.0,28.0,14.0,13.0,11.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
+2+1,36.0,82.0,13.0,40.0,23.0,7.0,19.0,15.0,17.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
+1+2,45.0,17.0,67.0,51.0,9.0,24.0,32.0,28.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
+1+1,42.0,45.0,56.0,225.0,13.0,10.0,115.0,122.0,88.0,6.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
+2+0,29.0,19.0,4.0,13.0,48.0,4.0,28.0,10.0,39.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
+0+2,25.0,5.0,16.0,12.0,5.0,42.0,11.0,54.0,59.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
+1+0,18.0,33.0,22.0,115.0,38.0,18.0,354.0,73.0,422.0,7.0,8.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
+0+1,13.0,14.0,24.0,112.0,13.0,21.0,55.0,291.0,417.0,12.0,7.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
+0+0,38.0,40.0,43.0,181.0,73.0,112.0,514.0,595.0,76926.0,126.0,108.0,42.0,41.0,8.0,3.0,4.0,5.0,8.0,9.0,1.0,5.0,1.0,0.0,1.0,1.0
+0-1,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,102.0,29.0,4.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-1+0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,8.0,91.0,3.0,22.0,5.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
+0-2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,34.0,14.0,1.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,30.0,0.0,9.0,0.0,20.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-1-2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
-1+1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+1-1,2.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+1-2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
-1+2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+2-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
+2-2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
