,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
+2+2,351.0,48.0,52.0,29.0,47.0,46.0,31.0,18.0,19.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
+2+1,63.0,76.0,18.0,45.0,24.0,9.0,23.0,25.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
+1+2,50.0,13.0,76.0,56.0,11.0,33.0,26.0,29.0,27.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+1+1,44.0,52.0,49.0,266.0,10.0,16.0,138.0,124.0,132.0,2.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
+2+0,34.0,22.0,7.0,17.0,42.0,11.0,52.0,11.0,72.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
+0+2,41.0,9.0,16.0,12.0,6.0,66.0,18.0,41.0,88.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
+1+0,28.0,36.0,24.0,125.0,34.0,22.0,328.0,81.0,557.0,10.0,10.0,5.0,5.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
+0+1,36.0,39.0,47.0,110.0,12.0,40.0,66.0,345.0,482.0,16.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
+0+0,53.0,48.0,47.0,218.0,95.0,118.0,567.0,550.0,93583.0,96.0,99.0,47.0,51.0,10.0,6.0,4.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0
+0-1,1.0,0.0,0.0,4.0,0.0,1.0,10.0,8.0,128.0,29.0,2.0,14.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
-1+0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,5.0,87.0,6.0,25.0,3.0,9.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
+0-2,1.0,0.0,0.0,3.0,0.0,2.0,3.0,7.0,46.0,13.0,0.0,20.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,29.0,2.0,2.0,1.0,15.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-1-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
+1-1,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
+1-2,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1+2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+2-1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+2-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
