,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
+2+2,232.0,54.0,44.0,24.0,23.0,23.0,12.0,16.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
+2+1,29.0,57.0,4.0,37.0,21.0,7.0,23.0,20.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
+1+2,32.0,8.0,39.0,49.0,3.0,20.0,10.0,16.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
+1+1,24.0,42.0,25.0,178.0,13.0,12.0,87.0,84.0,99.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
+2+0,10.0,13.0,7.0,10.0,27.0,4.0,44.0,5.0,53.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
+0+2,17.0,3.0,8.0,8.0,1.0,20.0,5.0,30.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+1+0,9.0,18.0,15.0,74.0,26.0,3.0,273.0,52.0,459.0,11.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+0+1,8.0,15.0,16.0,68.0,8.0,14.0,35.0,193.0,283.0,10.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
+0+0,21.0,21.0,16.0,90.0,39.0,31.0,311.0,291.0,46474.0,70.0,71.0,15.0,25.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
+0-1,0.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,76.0,21.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
-1+0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,2.0,94.0,3.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+0-2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,36.0,8.0,2.0,9.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
+1-1,0.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+1-2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+2-1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+2-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
