,degree_i,degree_j,wave,n_degrees_i,n_degrees_j,n_transitions_ij,n_transitions_ji,relative_error
0,0,5,4,89.0,19.0,6.0,0.0,2.0880951618282344
1,0,10,4,89.0,16.0,6.0,0.0,2.0880951618282344
2,0,15,4,89.0,15.0,6.0,0.0,2.0880951618282344
3,24,36,8,8.0,4.0,0.0,1.0,2.008097199105343
