,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,86,41,19,7,1,0,1,1,0,0,0,0,0,0,0
1,40,23,12,4,2,1,0,0,1,0,0,0,0,0,0
2,20,17,12,3,7,1,0,1,1,2,0,0,0,0,0
3,4,6,8,4,2,1,1,0,1,0,0,0,0,0,0
4,2,2,8,4,4,7,1,2,1,1,0,0,0,0,0
5,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0
6,0,1,1,1,3,2,2,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
