,0,1,2,3,4,5,6,7,8,9,10
0,106,36,12,4,1,1,0,0,0,0,0
1,43,28,15,6,3,3,0,0,0,0,0
2,15,16,8,7,6,0,0,0,0,0,0
3,5,9,9,5,2,1,0,0,0,0,0
4,3,4,5,1,1,0,0,0,0,0,0
5,0,2,2,2,2,0,1,0,0,0,0
6,2,0,1,2,0,1,0,0,0,0,0
7,0,0,0,1,0,0,1,0,0,0,0
8,0,0,0,1,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0
