,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1656,418,88,30,9,3,4,2,3,0,0,0,0
1,381,200,84,27,14,3,1,2,1,0,0,0,0
2,86,69,49,21,11,7,2,2,2,0,0,0,0
3,17,39,21,7,6,4,1,1,1,0,0,0,0
4,8,11,15,7,8,2,3,2,0,0,0,0,0
5,1,1,3,4,6,1,0,2,0,0,0,0,0
6,0,1,2,2,4,0,1,1,1,0,0,0,0
7,0,2,2,0,4,0,0,1,0,1,0,0,0
8,0,1,2,1,0,0,0,0,0,0,0,0,1
9,0,0,0,0,1,1,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0
