,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1832,243,106,36,15,15,12,8,3,0,2,0,1,0,0,1
1,242,182,56,30,26,6,7,3,1,1,0,0,0,0,1,0
2,93,57,50,24,14,6,3,0,3,1,1,1,0,0,0,0
3,35,23,21,11,7,7,4,1,2,2,1,2,0,0,0,0
4,14,15,19,6,4,1,0,1,2,0,0,0,0,0,0,0
5,11,8,9,3,3,0,2,2,1,1,0,0,0,0,0,0
6,9,3,6,1,4,5,3,3,0,0,0,2,0,0,0,0
7,6,4,0,0,1,1,1,2,0,1,2,0,0,0,0,0
8,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
10,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
