,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,753,388,142,56,27,9,4,0,0,0,0,0,0,0,0
1,413,279,132,69,34,14,6,3,1,0,1,0,0,0,0
2,136,139,97,49,33,14,11,2,4,3,1,0,0,0,0
3,40,65,62,39,17,11,9,1,1,0,2,0,0,0,0
4,20,24,33,25,18,10,6,5,3,1,0,0,1,0,0
5,9,14,11,15,11,7,4,3,2,1,1,0,0,0,0
6,3,6,6,11,6,7,6,0,0,0,0,0,0,0,0
7,0,1,1,3,0,4,2,2,0,0,0,0,0,0,0
8,0,2,3,1,2,2,2,1,0,1,0,0,1,0,0
9,0,0,1,1,3,0,0,0,2,2,0,0,0,0,0
10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
