,motif
0,888888
1,888881
2,888811
3,888821
4,888822
5,888882
6,888886
7,888887
8,888861
9,888181
10,888876
11,888111
12,888118
13,888871
14,888866
15,881818
16,888877
17,888122
18,881811
19,882218
20,888281
21,888112
22,888862
23,882818
24,888121
25,882211
26,882118
27,881111
28,888872
29,888218
30,888681
31,881812
32,886818
33,888128
34,888168
35,888618
36,888211
37,818181
38,882111
39,881211
40,888611
41,888222
42,882811
43,888781
44,818111
45,888212
46,886811
47,811111
48,887818
49,882212
50,888622
51,888178
52,888718
53,882221
54,812211
55,886822
56,888282
57,882822
58,818122
59,818121
60,812218
61,882222
62,811118
63,888711
64,812118
65,888682
66,888228
67,221111
68,888612
69,888686
70,811122
71,888221
72,882821
73,888621
74,887811
75,886828
76,882812
77,882828
78,211111
79,888722
80,888161
81,828181
82,811811
83,811211
84,882112
85,886812
86,888268
87,886821
88,828111
89,881212
90,222111
91,222221
92,888786
93,828122
94,887822
95,888668
96,811121
97,888628
98,812222
99,828118
100,812281
101,888782
102,882121
103,812111
104,222222
105,111111
106,828121
107,887868
108,868181
109,888712
110,886868
111,811222
112,887828
113,222211
114,221211
115,812221
116,811821
117,888278
118,821818
119,812212
120,888166
121,811112
122,888116
123,881816
124,888721
125,887812
126,887821
127,811212
128,212111
129,888171
130,222121
131,868111
132,861818
133,822222
134,822218
135,886618
136,888177
137,888678
138,886111
139,886118
140,888728
141,888167
142,821118
143,828222
144,888787
145,888768
146,221212
147,812122
148,828128
149,812121
150,812181
151,822221
152,887718
153,828281
154,888176
155,878181
156,861181
157,868118
158,868168
159,828112
160,868122
161,861111
162,811221
163,212121
164,881611
165,886611
166,886122
167,887618
168,821111
169,821121
170,886718
171,821122
172,888261
173,828221
174,861118
175,821222
176,211211
177,211112
178,821181
179,822228
180,888616
181,871818
182,821218
183,222112
184,886112
185,888117
186,888778
187,878111
188,861811
189,888666
190,881817
191,887878
192,882216
193,886622
194,887118
195,828182
196,887711
197,822118
198,868112
199,822211
200,828282
201,861881
202,811881
203,862281
204,862218
205,862268
206,878118
207,887611
208,821822
209,822281
210,886711
211,887111
212,888661
213,828211
214,861822
215,821821
216,861122
217,818161
218,878122
219,888162
220,812112
221,862211
222,822128
223,888677
224,868121
225,868681
226,822121
227,821211
228,821221
229,886861
230,862168
