,motif
559,861611
560,862128
561,868116
562,868228
563,872828
564,872276
565,886228
566,861861
567,811861
568,612212
569,772211
570,811271
571,817681
572,862267
573,811621
574,662211
575,887161
576,866181
577,828117
578,872228
579,817218
580,828167
581,662111
582,816621
583,811126
584,882712
585,866622
586,621111
587,888726
588,871221
589,817721
590,868261
591,888627
592,868221
593,887862
594,822112
595,862812
596,621121
597,867722
598,616122
599,866681
600,887761
601,867718
602,886826
603,826181
604,817112
605,817712
606,828166
607,878177
608,861171
609,816722
610,887268
611,878782
612,867618
613,861622
614,861618
615,812226
616,862821
617,711121
618,816281
619,878787
620,811266
621,872261
622,811277
623,878687
624,762211
625,211221
626,878166
627,817621
628,887766
629,818172
630,816211
631,861266
632,888762
633,772111
634,821618
635,828261
636,872277
637,822216
638,816612
639,871882
640,886666
641,611221
642,612122
643,866611
644,866711
645,872271
646,712111
647,866168
648,828176
649,871182
650,812161
651,866882
652,887817
653,866722
654,878176
655,826121
656,861876
657,816212
658,817121
659,886661
660,886616
661,878682
662,812271
663,887228
664,877811
665,812117
666,826122
667,867711
668,872822
669,661211
670,861681
671,886766
672,876828
673,871161
674,711211
675,888672
676,876821
677,871228
678,867668
679,811711
680,712222
681,761122
682,622221
683,886761
684,817211
685,872282
686,877718
687,811871
688,817622
689,777722
690,862276
691,867781
692,721121
693,878228
694,871166
695,711222
696,888727
697,828126
698,811612
699,712221
700,868661
701,822226
702,811276
703,861711
704,876622
705,812166
706,872821
707,826618
708,876611
709,861722
710,871282
711,886716
712,821116
713,871286
714,861177
715,878116
716,871622
717,886116
718,622222
719,861267
720,817281
721,866861
722,776722
723,812267
724,861167
725,887872
726,887716
727,621122
728,861116
729,866111
730,872128
731,866781
732,821816
733,712212
734,886827
735,877881
736,816712
737,862166
738,811267
739,878221
740,872266
741,816222
742,816161
743,861176
744,761121
745,821161
746,712121
747,861816
748,868162
749,862277
750,887776
751,878286
752,811722
753,868666
754,868266
755,887221
756,872186
757,876722
758,822812
759,876781
760,867622
761,816721
762,871611
763,762111
764,868676
765,871681
766,812126
767,711212
768,861718
769,871722
770,878616
771,861612
772,621221
773,866621
774,711112
775,867181
776,862161
777,821126
778,811227
779,871176
780,811127
781,872112
782,621222
783,867768
784,812177
785,871877
786,762222
787,826128
788,828162
789,866718
790,812227
791,886221
792,872812
793,811721
794,877722
795,882721
796,666622
797,811616
798,871618
799,877822
800,866122
801,827718
802,861877
803,827111
804,881616
805,616111
806,772221
807,761112
808,881716
809,871171
810,828172
811,871866
812,861867
813,862182
814,828262
815,876181
816,616121
817,712122
818,862882
819,762266
820,887767
821,777622
822,867681
823,861277
824,821177
825,716122
826,862271
827,826718
828,762122
829,712216
830,887826
831,812171
832,871621
833,866866
834,867611
835,876681
836,816616
837,887771
838,821261
839,612216
840,817212
841,811226
842,877781
843,817222
844,761212
845,812176
846,821718
847,721111
848,887166
849,878261
850,716111
851,761222
852,871861
853,861621
854,721222
855,662221
856,611116
857,612116
858,861781
859,878761
860,887667
861,871261
862,821621
863,822116
864,772212
865,877821
866,817612
867,662222
868,827618
869,812167
870,866712
871,662212
872,871177
873,826112
874,771211
875,871271
876,822227
877,622121
878,876668
879,876618
880,876711
881,887661
882,872177
883,866612
884,878287
885,878676
886,817716
887,866112
888,666122
889,828127
890,872182
891,822261
892,862216
893,868267
894,828271
895,876812
896,878277
897,821216
898,827122
899,872176
900,827711
901,712217
902,821167
903,812711
904,821611
905,862167
906,878671
907,878271
908,861817
909,878661
910,817666
911,878276
912,878167
913,816666
914,878666
915,828276
916,872166
917,868277
918,868271
919,868677
920,887616
921,826721
922,766622
923,886117
924,861271
925,861276
926,761211
927,866721
928,812611
929,721122
930,886767
931,772222
932,828272
933,722222
934,776622
935,866118
936,722221
937,821817
938,826611
939,866886
940,866668
941,871167
942,612112
943,877711
944,876721
945,876718
946,871276
947,622211
948,872886
949,886617
950,886261
951,871876
952,886717
953,862177
954,821117
955,811712
956,762267
957,721211
958,861712
959,822217
960,777721
961,821277
962,712116
963,821877
964,821622
965,872267
966,826222
967,887171
968,868216
969,861162
970,887717
971,868217
972,827721
973,888772
974,871781
975,877618
976,871668
977,811262
978,866876
979,827118
980,871871
981,762221
982,861721
983,817777
984,767622
985,876768
986,867612
987,861871
988,876118
989,867721
990,877721
991,826211
992,622122
993,711116
994,876612
995,826228
996,827722
997,816171
998,762212
999,827781
1000,821826
1001,811272
1002,821166
1003,622111
1004,812612
1005,878776
1006,866161
1007,777711
1008,887827
1009,827621
1010,876886
1011,821226
1012,826218
1013,862866
1014,816166
1015,816677
1016,762167
1017,816116
1018,878677
1019,817676
1020,826621
1021,867111
1022,722211
1023,867168
1024,867621
1025,812712
1026,877611
1027,876712
1028,876621
1029,826622
1030,717122
1031,877712
1032,877812
1033,827121
1034,878117
1035,872161
1036,762166
1037,666111
1038,811162
1039,772112
1040,871686
1041,862262
1042,826182
1043,861628
1044,861262
1045,887167
1046,871867
1047,862618
1048,666621
1049,886762
1050,871612
1051,861216
1052,828277
1053,871277
1054,712117
1055,871718
1056,761166
1057,876122
1058,862611
1059,882616
1060,771611
1061,821681
1062,711221
1063,817766
1064,887116
1065,822266
1066,877622
1067,871816
1068,871712
1069,816676
1070,816661
1071,821827
1072,821861
1073,887676
1074,772121
1075,868671
1076,821866
1077,812262
1078,867712
1079,626122
1080,871711
1081,762121
1082,812681
1083,822271
1084,722122
1085,711216
1086,861728
1087,626111
1088,817771
1089,822277
1090,862171
1091,887777
1092,867761
1093,862116
1094,827222
1095,827181
1096,822618
1097,866182
1098,877768
1099,871116
1100,826221
1101,812781
1102,861117
1103,666611
1104,821876
1105,872882
1106,826282
1107,662112
1108,621211
1109,868276
1110,811716
1111,872171
1112,877681
1113,868262
1114,866871
1115,867728
1116,827681
1117,866661
1118,877118
1119,826281
1120,812272
1121,826722
1122,868117
1123,822117
1124,821171
1125,887261
1126,877621
1127,876111
1128,812622
1129,867782
1130,878266
1131,777122
1132,822126
1133,816777
1134,826681
1135,776612
1136,871628
1137,877861
1138,821217
1139,821176
1140,872216
1141,712112
1142,877612
1143,761167
1144,811626
1145,722111
1146,861217
1147,821227
1148,761722
1149,826161
1150,821616
1151,822127
1152,722121
1153,822882
1154,822161
1155,771212
1156,867786
1157,761161
1158,877728
1159,817221
1160,877871
1161,817171
1162,816767
1163,816766
1164,876168
1165,866628
1166,816177
1167,887262
1168,812616
1169,812127
1170,862861
1171,777621
1172,862622
1173,767122
1174,777611
1175,776721
1176,776711
1177,776611
1178,776111
1179,862176
1180,771612
1181,877678
1182,887671
1183,867676
1184,827628
1185,817616
1186,817761
1187,817717
1188,876882
1189,876686
1190,877111
1191,877178
1192,876178
1193,661212
1194,886126
1195,882716
1196,811172
1197,761261
1198,811717
1199,871721
1200,762261
1201,762217
1202,811617
1203,821266
1204,777612
1205,872768
1206,876666
1207,817776
1208,776122
1209,821127
1210,767621
1211,871616
1212,772217
1213,822276
1214,886727
1215,887772
1216,662121
1217,812621
1218,878766
1219,878217
1220,821262
1221,877668
1222,877181
1223,817161
1224,821722
1225,817116
1226,878162
1227,621212
1228,766611
1229,876871
1230,872622
1231,816761
1232,816617
1233,817677
1234,878267
1235,762112
1236,887267
1237,876866
1238,821871
1239,816176
1240,816167
1241,878617
1242,817671
1243,878667
1244,812716
1245,821267
1246,878216
1247,872262
1248,867771
1249,867161
1250,862217
1251,726111
1252,866121
1253,826711
1254,827182
1255,861682
1256,828266
1257,866782
1258,866777
1259,862718
1260,866728
1261,827228
1262,711622
1263,721212
1264,862816
1265,861172
1266,827281
1267,612261
1268,721221
1269,827611
1270,862867
1271,867628
1272,777666
1273,827682
1274,862612
1275,821272
1276,877778
1277,872167
1278,716121
1279,812721
1280,776712
1281,821781
1282,761621
1283,861666
1284,761721
1285,871267
1286,862682
1287,827112
1288,827221
1289,867666
1290,876876
1291,867186
1292,881717
1293,877168
1294,861127
1295,766721
1296,867776
1297,827218
1298,877686
1299,827212
1300,822622
1301,827211
1302,867112
1303,622226
1304,827128
1305,862681
1306,716112
1307,821867
1308,866816
1309,821872
1310,878626
1311,871817
1312,822177
1313,871768
1314,816716
1315,716212
1316,861782
1317,866671
1318,861826
1319,761221
1320,772116
1321,816216
1322,771711
1323,871216
1324,861862
1325,822718
1326,861872
1327,871266
1328,761266
1329,887726
1330,827728
1331,866268
1332,866761
1333,887617
1334,887672
1335,712126
1336,871217
1337,622126
1338,811661
1339,767111
1340,878272
1341,812722
1342,716171
1343,862781
1344,867122
1345,882717
1346,766722
1347,882617
1348,862722
1349,877886
1350,871666
1351,871117
1352,766111
1353,662216
1354,666112
1355,826628
1356,861676
1357,621112
1358,867118
1359,887271
1360,867268
1361,611611
1362,867281
1363,872116
1364,827622
1365,817667
1366,817661
1367,862117
1368,876861
1369,661611
1370,861616
1371,811667
1372,761127
1373,867661
1374,776621
1375,721216
1376,811676
1377,876877
1378,626121
1379,816221
1380,822721
1381,887162
1382,722226
1383,868126
1384,877676
1385,827767
1386,711166
1387,868172
1388,876786
1389,877677
1390,866862
1391,622116
1392,877682
1393,821721
1394,866218
1395,868272
1396,821276
1397,622216
1398,826781
1399,878172
1400,877777
1401,717111
1402,872611
1403,727111
1404,827677
1405,826676
1406,887626
1407,716622
1408,816667
1409,878777
1410,866128
1411,866171
1412,868127
1413,761622
1414,827171
1415,711611
1416,772216
1417,878771
1418,821271
1419,866666
1420,877882
1421,816117
1422,716616
1423,662116
1424,877786
1425,716211
1426,811761
1427,716611
1428,877122
1429,887662
1430,766112
1431,878126
1432,766612
1433,827777
1434,827667
1435,866766
1436,877666
1437,866616
1438,816217
1439,866281
1440,817276
1441,866682
1442,812162
1443,766122
1444,866676
1445,867166
1446,816162
1447,867182
1448,878762
1449,817176
1450,827782
1451,887727
1452,872686
1453,726222
1454,722212
1455,621126
1456,862621
1457,871728
1458,711117
1459,872682
1460,872711
1461,887126
1462,762117
1463,872728
1464,872781
1465,872782
1466,862711
1467,821162
1468,872861
1469,826716
1470,872272
1471,868227
1472,776121
1473,726122
1474,826212
1475,826612
1476,826666
1477,871127
1478,886626
1479,821717
1480,826177
1481,777111
1482,821711
1483,886627
1484,871826
1485,886216
1486,826677
1487,822167
1488,772117
1489,776617
1490,887127
1491,711161
1492,876281
1493,722116
1494,761117
1495,882726
1496,867616
1497,827282
1498,876728
1499,722112
1500,867686
1501,762216
1502,867677
1503,621116
1504,876678
1505,771712
1506,876278
1507,811666
1508,876186
1509,822262
1510,872876
1511,876771
1512,727121
1513,872877
1514,867777
1515,871682
1516,876128
1517,867767
1518,867766
1519,876182
1520,871262
1521,876766
1522,867671
1523,861677
1524,711126
1525,767611
1526,771717
1527,886662
1528,887266
1529,776112
1530,861717
1531,886726
1532,861771
1533,662611
1534,776616
1535,716221
1536,711612
1537,866228
1538,862877
1539,777776
1540,862712
1541,766712
1542,712621
1543,767112
1544,887216
1545,862876
1546,861667
1547,712261
1548,811677
1549,862871
1550,811767
1551,766766
1552,712266
1553,777762
1554,711616
1555,777617
1556,766711
1557,866176
1558,661612
1559,716116
1560,812626
1561,766666
1562,812667
1563,861661
1564,887117
1565,716117
1566,866212
1567,862272
1568,776716
1569,886262
1570,882626
1571,717171
1572,621216
1573,826717
1574,876221
1575,726212
1576,722117
1577,867717
1578,822176
1579,867682
1580,876628
1581,876671
1582,876676
1583,722216
1584,817767
1585,876682
1586,612161
1587,871782
1588,872126
1589,876726
1590,887762
1591,621161
1592,762271
1593,826667
1594,876816
1595,826682
1596,826167
1597,878262
1598,666121
1599,822171
1600,872722
1601,722227
1602,761711
1603,868662
1604,872621
1605,872117
1606,821862
1607,722266
1608,726121
1609,871126
1610,872681
1611,722126
1612,876176
1613,827177
1614,871862
1615,621612
1616,872862
1617,871162
1618,872871
1619,876112
1620,876121
1621,876161
1622,876167
1623,817617
1624,867218
1625,616161
1626,816771
1627,817177
1628,877866
1629,877877
1630,611621
1631,817167
1632,871661
1633,871626
1634,761611
1635,816776
1636,716621
1637,827766
1638,877112
1639,816717
1640,761116
1641,816671
1642,816662
1643,866677
1644,822611
1645,878226
1646,871272
1647,887272
1648,816271
1649,821627
1650,877782
1651,871667
1652,717161
1653,877121
1654,821626
1655,877166
1656,871716
1657,877182
1658,826117
1659,826116
1660,721112
1661,871677
1662,877278
1663,827676
1664,877766
1665,877628
1666,877661
1667,877667
1668,717121
1669,766161
1670,817262
1671,827712
1672,822781
1673,766167
1674,826767
1675,767212
1676,766621
1677,761262
1678,711261
1679,767167
1680,767666
1681,761226
1682,767676
1683,727122
1684,761217
1685,726611
1686,762171
1687,761616
1688,716661
1689,721166
1690,762617
1691,721126
1692,762621
1693,762711
1694,712616
1695,766166
1696,887627
1697,762272
1698,766211
1699,766661
1700,766261
1701,766266
1702,716612
1703,766617
1704,716222
1705,762611
1706,721226
1707,767166
1708,762116
1709,761661
1710,761666
1711,761712
1712,711711
1713,767121
1714,761716
1715,722127
1716,762126
1717,712612
1718,762161
1719,712166
1720,622112
1721,712226
1722,766771
1723,721622
1724,712262
1725,862126
1726,876761
1727,622212
1728,826272
1729,826616
1730,826626
1731,826672
1732,868226
1733,826762
1734,826776
1735,826782
1736,827162
1737,827172
1738,827216
1739,827267
1740,867716
1741,827612
1742,867667
1743,827616
1744,867617
1745,867228
1746,867222
1747,867216
1748,867211
1749,867176
1750,868672
1751,826262
1752,822166
1753,826261
1754,871767
1755,871766
1756,871762
1757,871717
1758,871676
1759,822267
1760,871617
1761,822612
1762,822621
1763,822667
1764,871227
1765,871226
1766,822722
1767,822726
1768,822727
1769,822861
1770,826166
1771,871172
1772,826171
1773,826172
1774,826176
1775,867171
1776,867128
1777,867121
1778,867117
1779,861227
1780,861272
1781,862817
1782,861617
1783,862782
1784,862777
1785,862728
1786,862721
1787,862717
1788,862716
1789,862677
1790,862671
1791,862628
1792,862617
1793,861662
1794,861716
1795,862227
1796,862226
1797,861761
1798,861827
1799,862172
1800,861226
1801,866117
1802,861126
1803,866717
1804,827671
1805,866872
1806,866826
1807,827716
1808,827717
1809,866776
1810,866772
1811,866771
1812,827761
1813,827771
1814,866167
1815,866667
1816,866617
1817,662622
1818,866282
1819,866271
1820,866267
1821,866222
1822,866211
1823,866177
1824,871786
1825,821777
1826,772611
1827,812617
1828,812727
1829,878662
1830,812776
1831,816172
1832,816261
1833,816262
1834,816266
1835,816276
1836,816277
1837,816627
1838,816772
1839,878127
1840,817117
1841,817162
1842,817166
1843,877817
1844,817216
1845,877761
1846,877726
1847,817261
1848,877716
1849,812627
1850,666212
1851,821776
1852,666221
1853,772622
1854,772717
1855,776116
1856,776717
1857,886226
1858,776727
1859,886217
1860,777161
1861,777616
1862,777761
1863,626112
1864,882727
1865,666661
1866,811627
1867,811671
1868,626222
1869,811727
1870,811766
1871,812172
1872,666261
1873,666222
1874,817271
1875,877671
1876,877281
1877,877267
1878,872867
1879,872866
1880,872826
1881,821172
1882,872817
1883,872718
1884,872712
1885,872671
1886,872668
1887,872666
1888,872628
1889,872626
1890,872618
1891,872617
1892,872612
1893,821612
1894,872226
1895,821667
1896,821716
1897,821726
1898,872172
1899,872872
1900,876171
1901,876218
1902,876777
1903,877266
1904,877222
1905,877212
1906,877211
1907,877171
1908,877161
1909,876826
1910,817627
1911,876782
1912,876776
1913,876261
1914,876772
1915,876767
1916,876762
1917,817762
1918,876716
1919,876662
1920,876616
1921,666161
1922,876277
1923,862826
