,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0
1,3.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0
2,6.0,4.0,3.0,1.0,10.0,2.0,0.0,4.0,5.0,7.0
3,7.0,10.0,13.0,5.0,7.0,6.0,1.0,6.0,9.0,15.0
4,7.0,13.0,13.0,9.0,17.0,13.0,10.0,9.0,17.0,11.0
5,14.0,11.0,22.0,12.0,28.0,18.0,15.0,22.0,13.0,21.0
6,14.0,20.0,35.0,27.0,25.0,17.0,24.0,32.0,28.0,19.0
7,33.0,28.0,31.0,38.0,31.0,36.0,28.0,30.0,28.0,23.0
8,31.0,27.0,25.0,36.0,37.0,35.0,25.0,31.0,31.0,37.0
9,26.0,36.0,55.0,27.0,43.0,39.0,38.0,27.0,32.0,29.0
10,34.0,35.0,44.0,34.0,36.0,34.0,51.0,39.0,37.0,38.0
11,35.0,30.0,39.0,29.0,28.0,41.0,33.0,26.0,51.0,37.0
12,31.0,28.0,33.0,28.0,46.0,36.0,36.0,40.0,24.0,36.0
13,17.0,28.0,26.0,36.0,23.0,25.0,36.0,23.0,31.0,35.0
14,24.0,26.0,29.0,26.0,28.0,32.0,24.0,24.0,26.0,38.0
15,13.0,20.0,27.0,22.0,27.0,22.0,25.0,26.0,31.0,26.0
16,17.0,8.0,20.0,25.0,18.0,27.0,17.0,15.0,21.0,21.0
17,12.0,12.0,14.0,15.0,17.0,18.0,14.0,11.0,19.0,21.0
18,6.0,3.0,13.0,19.0,12.0,16.0,16.0,16.0,26.0,13.0
19,8.0,6.0,4.0,16.0,8.0,10.0,13.0,10.0,15.0,17.0
20,3.0,1.0,8.0,13.0,14.0,11.0,6.0,10.0,14.0,12.0
21,5.0,3.0,6.0,12.0,6.0,9.0,7.0,9.0,13.0,13.0
22,1.0,3.0,3.0,3.0,8.0,2.0,13.0,3.0,4.0,10.0
23,2.0,1.0,4.0,4.0,4.0,5.0,5.0,10.0,3.0,3.0
24,2.0,2.0,3.0,4.0,2.0,7.0,3.0,4.0,4.0,4.0
25,0.0,2.0,2.0,6.0,2.0,1.0,4.0,2.0,2.0,1.0
26,2.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0
27,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0
28,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0
29,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
30,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
31,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
