motif,0,1,2,3,4,5,6,7,8,9
-1+2+2+1+2+1,0.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0
-1+2+2+1+2+2,2.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0
-1+2+2+1+2-1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
-1+2+2+2+1+1,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0
-1+2+2+2+1+2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1+2+2+2+1-1,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
-1+2+2+2+2+1,3.0,1.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0
-1+2+2+2+2+2,4.0,5.0,2.0,6.0,0.0,2.0,4.0,2.0,4.0,0.0
-1+2+2+2+2-1,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
-1+2-1+1+1+1,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
-1+2-1+1+1+2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1+2-1+1+2+1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
-1+2-1+1+2+2,1.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0
-1+2-1+2+2+2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1+1+1+1+1,5.0,5.0,0.0,7.0,6.0,11.0,6.0,5.0,4.0,14.0
-1-1+1+2+1+1,5.0,4.0,0.0,3.0,2.0,5.0,5.0,2.0,3.0,6.0
-1-1+1+2+1+2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
-1-1+1-1+1+1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
-1-1+1-1+1+2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-1-1+2+1+1+1,2.0,4.0,0.0,7.0,7.0,5.0,4.0,4.0,6.0,8.0
-1-1+2+1+1+2,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0
-1-1+2+1+1-1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
-1-1+2+1+2+1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
-1-1+2+2+1+1,9.0,1.0,1.0,8.0,2.0,6.0,5.0,2.0,4.0,11.0
-1-1+2+2+1+2,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,6.0
-1-1+2+2+1-1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
-1-1+2+2+2+1,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,6.0
-1-1+2+2+2+2,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,8.0
-1-1+2-1+1+1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
-1-1+2-1+2+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1-1-1+1+1+1,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0
-1-1-1+1+1+2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
-1-1-1+1+2+1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1-1-1+1+2+2,2.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,5.0
-1-1-1+1-1+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+1+2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+2+1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1-1-1+2+2+2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1-1-1+2-1+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1-1-1-1+1+1,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
-1-1-1-1+2+1,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0
-1-1-1-1+2+2,2.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,9.0
-1-1-1-1-1+1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1+1+1+1+1,10.0,6.0,6.0,24.0,7.0,13.0,11.0,1.0,9.0,7.0
-2+1+1+1+1+2,3.0,0.0,2.0,6.0,0.0,3.0,2.0,2.0,2.0,4.0
-2+1+1+1+1-1,0.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0
-2+1+1+1+1-2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1+1+1+2+1,4.0,2.0,2.0,6.0,2.0,4.0,4.0,2.0,11.0,4.0
-2+1+1+1+2+2,7.0,6.0,5.0,12.0,3.0,8.0,7.0,1.0,10.0,11.0
-2+1+1+1+2-1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
-2+1+1+1-1+1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-2+1+1+1-1-1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
-2+1+1+2+1+1,6.0,2.0,3.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
-2+1+1+2+1+2,1.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,6.0
-2+1+1+2+1-1,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0
-2+1+1+2+2+1,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
-2+1+1+2+2+2,4.0,3.0,2.0,2.0,2.0,5.0,0.0,1.0,7.0,6.0
-2+1+1+2-1+1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-2+1+1-1+1+1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
-2+1+1-1+1+2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-2+1+1-1+1-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-2+1+1-1+2+2,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
-2+1+1-2+1+1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-2+1+2+1+1+1,9.0,1.0,2.0,6.0,6.0,3.0,3.0,1.0,3.0,3.0
-2+1+2+1+1+2,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0
-2+1+2+1+1-1,1.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0
-2+1+2+1+1-2,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0
-2+1+2+1+2+1,3.0,2.0,1.0,0.0,4.0,2.0,2.0,3.0,4.0,6.0
-2+1+2+1+2+2,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,10.0
-2+1+2+1+2-1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
-2+1+2+1-1-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1+2+2+1+1,7.0,14.0,5.0,14.0,6.0,11.0,9.0,7.0,9.0,10.0
-2+1+2+2+1+2,5.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,8.0
-2+1+2+2+1-1,3.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0
-2+1+2+2+1-2,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
-2+1+2+2+2+1,6.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,7.0
-2+1+2+2+2+2,7.0,2.0,0.0,3.0,3.0,4.0,3.0,1.0,5.0,6.0
-2+1+2+2+2-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1+2+2-1+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-2+1+2+2-1+2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1+2+2-1-1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-2+1+2-1+1+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+1+2-1+1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-2+1+2-1+2+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
-2+1-1+1+1+1,1.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,1.0,5.0
-2+1-1+1+1+2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
-2+1-1+1+1-1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-2+1-1+1+1-2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+1-1+1+2+1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+1-1+1+2+2,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,9.0
-2+1-1+1-2+1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-2+1-1+2+1+1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
-2+1-1+2+1+2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
-2+1-1+2+2+1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
-2+1-1+2+2+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+1-1-1+1+1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-2+1-1-1+1+2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1-1-1+1-1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
-2+1-1-1+2+1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1-1-1+2+2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
-2+1-1-1-1+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-2+1-2+1+1+1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1-2+1+2+1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+1-2+1+2+2,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
-2+1-2+1-1+1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-2+1-2+1-2+1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2+1+1+1+1,0.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,4.0
-2+2+1+1+1+2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2+1+1+2+1,2.0,1.0,0.0,6.0,4.0,7.0,0.0,3.0,1.0,8.0
-2+2+1+1+2+2,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,7.0
-2+2+1+1+2-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-2+2+1+1-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-2+2+1+2+1+1,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,4.0
-2+2+1+2+1+2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
-2+2+1+2+1-1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-2+2+1+2+2+1,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
-2+2+1+2+2+2,3.0,0.0,5.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0
-2+2+1+2+2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+2+1-1+2+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+2+2+1+1+1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
-2+2+2+1+1+2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-2+2+2+1+1-1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-2+2+2+1+1-2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
-2+2+2+1+2+1,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
-2+2+2+1+2+2,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0
-2+2+2+1+2-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2+2+1+2-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2+2+2+1+1,1.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0
-2+2+2+2+1+2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2+2+2+1-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-2+2+2+2+2+1,1.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0
-2+2+2+2+2+2,1.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0
-2+2+2+2+2-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
-2+2+2+2+2-2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-2+2+2+2-1-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-2+2-1+1+1+1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
-2+2-1+1+2+1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+2-1+1+2+2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-2+2-1+2+1+2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2+2-1+2+2+2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-2+2-1-1+1+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-2+2-2+1+1+1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-2+2-2+1+2+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
-2+2-2+1+2+2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1+1+1+1+1,5.0,7.0,8.0,10.0,12.0,9.0,13.0,5.0,7.0,15.0
-2-1+1+1+1+2,1.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,5.0,4.0
-2-1+1+1+1-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-2-1+1+1+1-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-2-1+1+1+2+1,1.0,2.0,0.0,8.0,2.0,3.0,4.0,2.0,2.0,3.0
-2-1+1+1+2+2,3.0,1.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,8.0
-2-1+1+1+2-2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1+1+1-1+1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0
-2-1+1+1-1-1,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0
-2-1+1+1-1-2,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
-2-1+1+2+1+1,0.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0
-2-1+1+2+1+2,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,7.0
-2-1+1+2+1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-2-1+1+2+2+1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
-2-1+1+2+2+2,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,12.0
-2-1+1+2+2-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1+1+2-1+1,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
