,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,154,31,19,12,9,5,2,0,2,1,0,0,0,1,0
1,24,11,8,3,4,0,0,0,1,0,1,1,0,0,1
2,7,9,7,11,3,0,1,0,1,0,0,0,0,0,0
3,8,5,5,1,4,2,1,0,0,1,0,0,0,0,0
4,3,2,0,1,2,0,0,1,0,0,1,0,0,0,0
5,2,3,3,1,2,3,0,0,0,0,0,0,1,0,0
6,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0
7,1,1,3,1,1,0,0,0,0,0,1,0,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
