,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,160,41,28,11,5,10,6,0,0,1,0,2,0,0,0,0
1,26,8,9,6,7,2,0,0,0,0,2,1,1,0,0,0
2,5,4,5,6,5,1,1,1,0,0,0,1,1,0,0,0
3,6,3,4,5,4,4,1,1,0,0,0,0,0,0,0,0
4,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1
5,3,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0
6,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
8,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
