,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,215,38,6,4,1,1,0,1,0,0,0,0,0,0
1,40,28,7,8,2,0,0,0,0,0,0,0,0,0
2,8,12,8,0,2,0,0,0,0,0,0,0,0,1
3,3,5,2,0,0,0,0,0,0,0,0,0,0,0
4,0,3,1,2,1,0,0,0,0,0,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,2,0,2,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
