,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4,5,5,0,3,0,2,0,3,1,2,0,2,0,0,0,0,0,0,0,0
1,2,9,5,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5,4,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,5,9,13,4,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
4,1,1,1,7,11,4,8,5,3,5,0,1,0,0,0,0,0,0,0,0,0
5,0,2,3,2,5,6,12,4,6,3,4,0,0,0,0,0,0,0,0,0,0
6,0,0,2,3,6,4,6,4,4,4,3,1,0,0,0,0,0,0,0,0,0
7,0,1,0,2,1,5,3,2,7,4,6,0,1,0,0,2,0,0,0,0,0
8,0,0,0,0,1,5,3,5,8,4,1,0,1,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,2,5,4,4,2,2,2,1,0,0,0,0,0,0,0
10,0,0,0,1,1,0,3,3,2,1,1,4,0,1,1,0,0,0,0,0,0
11,0,0,0,0,0,1,1,2,2,3,4,1,2,1,0,0,2,0,0,1,0
12,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
