,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,3,5,6,6,7,4,2,1,1,0,0,0,0,0,0,0,0,0
3,3,4,7,15,11,7,2,2,0,0,0,0,0,0,0,0,0,0
4,0,3,5,12,21,8,4,5,2,0,0,0,0,1,0,0,0,0
5,0,0,3,6,7,11,6,7,5,2,0,1,0,0,0,0,0,0
6,0,0,0,2,0,5,7,4,3,2,0,0,0,0,0,0,0,0
7,1,0,0,3,3,5,8,9,5,2,2,1,0,3,1,0,0,0
8,0,0,0,1,1,7,5,3,5,1,2,2,2,2,0,0,0,0
9,0,0,0,0,2,1,2,4,3,1,4,0,0,1,1,0,0,0
10,0,0,0,0,0,1,1,4,2,5,0,0,2,0,1,0,0,0
11,0,0,0,0,0,0,2,0,1,0,0,1,3,0,1,0,0,0
12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
