,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,10,7,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,6,9,10,1,3,1,1,0,0,0,0,0,0,0,0,0,0
2,1,4,8,17,8,3,4,2,4,0,0,0,0,0,0,0,0,0
3,1,3,6,15,19,13,4,7,1,1,1,1,0,0,0,0,0,0
4,3,0,5,17,13,15,9,10,3,1,2,0,1,0,0,0,0,0
5,0,1,1,8,11,15,11,12,6,2,2,0,0,1,0,0,0,0
6,0,1,0,7,4,9,6,9,8,3,0,4,1,0,0,0,0,0
7,0,0,0,4,1,8,6,7,6,6,4,2,1,1,0,0,0,0
8,0,0,0,0,1,3,6,11,3,4,2,1,1,0,0,0,0,0
9,0,0,0,0,1,0,3,5,0,3,3,1,1,1,1,0,0,0
10,0,0,0,0,0,1,2,0,3,0,1,1,3,2,0,1,0,1
11,0,0,0,0,0,0,0,2,1,2,0,1,2,1,0,1,0,0
12,0,0,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,0
13,0,0,0,0,0,1,0,0,0,2,1,2,1,0,3,1,0,0
14,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
